,Group
>YNL031C,3
>YNL029C,1
>YNL027W,0
>YNL024C,5
>YNL020C,4
>YNL015W,2
>YNL009W,0
>YNL007C,1
>YNL006W,5
>YNL003C,5
>YNL002C,1
>YNR001C,3
>YNR003C,5
>YNR006W,0
>YNR007C,1
>YNR008W,5
>YNR019W,5
>YNR020C,1
>YNR023W,0
>YNR026C,5
>YNR027W,5
>YNR028W,5
>YNR033W,5
>YNR034W-A,5
>YNR035C,1
>YNR036C,4
>YNR037C,4
>YNR043W,5
>YNR050C,3
>YNR060W,5
>YNR067C,4
>YNR069C,1
>YNR074C,5
>YNR075W,5
>YOL159C,5
>YOL158C,3
>YOL149W,5
>YOL137W,0
>YOL136C,5
>YOL130W,5
>YOL126C,5
>YOL125W,5
>YOL123W,0
>YOL122C,5
>YOL120C,3
>YOL115W,0
>YOL114C,1
>YOL113W,0
>YOL110W,4
>YOL109W,2
>YOL108C,1
>YOL105C,4
>YOL104C,5
>YOL101C,5
>YOL098C,1
>YOL097C,5
>YOL088C,5
>YOL086W-A,5
>YOL082W,5
>YOL081W,0
>YOL077C,1
>YOL064C,5
>YOL062C,5
>YOL060C,5
>YOL059W,2
>YOL055C,5
>YOL052C,1
>YOL051W,0
>YOL049W,0
>YOL048C,5
>YOL042W,2
>YOL041C,1
>YOL040C,3
>YOL039W,2
>YOL038W,4
>YOL030W,2
>YOL028C,1
>YOL018C,1
>YOL016C,1
>YOL013C,5
>YOL012C,3
>YOL011W,5
>YOL010W,5
>YOL007C,4
>YOL006C,1
>YOL001W,5
>YOR005C,1
>YOR008C,4
>YOR014W,0
>YOR018W,0
>YOR021C,1
>YOR025W,5
>YOR027W,0
>YOR030W,0
>YOR039W,5
>YOR043W,5
>YOR044W,5
>YOR046C,5
>YOR049C,5
>YOR052C,5
>YOR059C,5
>YOR060C,5
>YOR063W,2
>YOR065W,2
>YOR066W,0
>YOR067C,5
>YOR069W,0
>YOR070C,4
>YOR076C,1
>YOR081C,4
>YOR083W,4
>YOR087W,5
>YOR089C,1
>YOR092W,5
>YOR094W,5
>YOR096W,2
>YOR101W,5
>YOR104W,5
>YOR107W,5
>YOR109W,0
>YOR116C,3
>YOR122C,5
>YOR130C,5
>YOR133W,2
>YOR134W,5
>YOR136W,2
>YOR137C,5
>YOR138C,4
>YOR142W,2
>YOR143C,1
>YOR147W,0
>YOR149C,5
>YOR153W,2
>YOR158W,0
>YOR159C,5
>YOR160W,0
>YOR161C,3
>YOR162C,5
>YOR164C,1
>YOR165W,0
>YOR166C,1
>YOR167C,5
>YOR172W,5
>YOR173W,5
>YOR179C,5
>YOR181W,0
>YOR182C,5
>YOR184W,5
>YOR185C,5
>YOR187W,2
>YOR197W,5
>YOR204W,2
>YOR207C,1
>YOR210W,5
>YOR213C,5
>YOR216C,1
>YOR219C,1
>YOR220W,5
>YOR222W,2
>YOR224C,5
>YOR226C,5
>YOR227W,0
>YOR230W,2
>YOR231W,5
>YOR232W,2
>YOR236W,5
>YOR243C,1
>YOR250C,5
>YOR252W,0
>YOR254C,1
>YOR257W,0
>YOR259C,1
>YOR261C,1
>YOR264W,0
>YOR267C,4
>YOR272W,5
>YOR273C,4
>YOR274W,0
>YOR278W,0
>YOR280C,5
>YOR281C,1
>YOR286W,5
>YOR290C,1
>YOR293W,0
>YOR295W,0
>YOR298C-A,3
>YOR299W,5
>YOR301W,4
>YOR312C,5
>YOR315W,5
>YOR316C,5
>YOR317W,2
>YOR320C,1
>YOR322C,5
>YOR323C,3
>YOR332W,2
>YOR335C,3
>YOR336W,0
>YOR337W,5
>YOR341W,2
>YOR344C,4
>YOR346W,0
>YOR349W,0
>YOR353C,4
>YOR357C,5
>YOR359W,0
>YOR361C,3
>YOR362C,5
>YOR363C,1
>YOR367W,0
>YOR368W,0
>YOR369C,3
>YOR370C,5
>YOR372C,4
>YOR374W,2
>YOR386W,0
>YPL274W,4
>YPL271W,5
>YPL268W,0
>YPL267W,0
>YPL266W,5
>YPL265W,5
>YPL260W,0
>YPL256C,5
>YPL252C,4
>YPL250C,5
>YPL249C-A,3
>YPL240C,3
>YPL239W,4
>YPL236C,5
>YPL234C,3
>YPL233W,0
>YPL232W,0
>YPL230W,1
>YPL228W,0
>YPL227C,5
>YPL226W,2
>YPL221W,4
>YPL220W,2
>YPL219W,5
>YPL218W,5
>YPL214C,5
>YPL211W,5
>YPL207W,0
>YPL206C,5
>YPL204W,0
>YPL202C,1
>YPL198W,2
>YPL192C,5
>YPL190C,4
>YPL188W,5
>YPL186C,1
>YPL181W,0
>YPL179W,5
>YPL178W,5
>YPL170W,5
>YPL168W,0
>YPL166W,0
>YPL165C,5
>YPL160W,2
>YPL159C,1
>YPL156C,1
>YPL155C,1
>YPL149W,5
>YPL148C,5
>YPL143W,5
>YPL141C,1
>YPL140C,5
>YPL137C,4
>YPL135W,5
>YPL131W,2
>YPL129W,5
>YPL125W,0
>YPL119C,5
>YPL101W,5
>YPL100W,5
>YPL098C,5
>YPL094C,5
>YPL093W,2
>YPL090C,3
>YPL089C,4
>YPL087W,5
>YPL081W,2
>YPL079W,5
>YPL075W,0
>YPL066W,5
>YPL059W,2
>YPL058C,3
>YPL057C,5
>YPL055C,4
>YPL051W,5
>YPL050C,5
>YPL048W,2
>YPL047W,5
>YPL042C,4
>YPL037C,3
>YPL032C,4
>YPL031C,5
>YPL029W,5
>YPL028W,2
>YPL026C,4
>YPL024W,4
>YPL018W,0
>YPL017C,4
>YPL015C,5
>YPL014W,5
>YPL004C,1
>YPL003W,5
>YPL002C,5
>YPR002W,5
>YPR004C,5
>YPR005C,5
>YPR008W,0
>YPR009W,5
>YPR010C,3
>YPR013C,4
>YPR016C,3
>YPR020W,5
>YPR029C,1
>YPR030W,0
>YPR033C,3
>YPR034W,0
>YPR035W,2
>YPR036W-A,5
>YPR038W,1
>YPR042C,4
>YPR043W,5
>YPR045C,1
>YPR046W,0
>YPR051W,4
>YPR052C,5
>YPR056W,5
>YPR061C,5
>YPR062W,5
>YPR065W,0
>YPR066W,5
>YPR070W,0
>YPR072W,0
>YPR073C,5
>YPR079W,5
>YPR080W,2
>YPR088C,1
>YPR091C,5
>YPR101W,0
>YPR102C,3
>YPR103W,5
>YPR105C,1
>YPR106W,0
>YPR110C,5
>YPR116W,5
>YPR122W,0
>YPR124W,5
>YPR125W,0
>YPR129W,0
>YPR132W,2
>YPR133W-A,5
>YPR138C,4
>YPR139C,5
>YPR145W,2
>YPR149W,2
>YPR153W,5
>YPR154W,0
>YPR156C,3
>YPR157W,5
>YPR158W,5
>YPR159W,5
>YPR160W,2
>YPR168W,0
>YPR175W,5
>YPR176C,5
>YPR181C,3
>YPR184W,5
>YPR187W,5
>YPR198W,5
